symbol,open,high,low,close,volume
vnr,19.74,20.97,19.3,19.65,4420
vns,27.05,27.05,26.96,26.96,8040
vos,2.9,2.9,2.8,2.9,40530
vph,7.46,7.54,7.21,7.55,113110
vpk,11.53,11.53,11.53,11.53,70
vps,10.4,10.52,9.73,9.73,1080
vrc,6.7,6.7,6.7,6.7,50
vsc,65.57,68.21,65.57,67.77,251130
vsh,15.14,15.23,15.05,15.23,96410
vsi,11.03,11.36,11.03,11.19,18660
vtc,6.04,6.04,6.04,6.04,2400
vth,13.18,13.18,13.1,13.1,7000
vtj,5.2,5.29,5.2,5.29,2700
vto,5.86,5.95,5.86,5.86,35340
vtv,13.06,13.06,12.6,12.78,25700
wcs,142.56,142.56,142.56,142.56,1600
wss,7.9,7.9,7.7,7.9,857500
